행정구역별,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022,2023,2023
행정구역별,출생건수 (명),사망건수 (명),출생건수 (명),사망건수 (명),출생건수 (명),사망건수 (명),출생건수 (명),사망건수 (명),출생건수 (명),사망건수 (명),출생건수 (명),사망건수 (명),출생건수 (명),사망건수 (명),출생건수 (명),사망건수 (명),출생건수 (명),사망건수 (명),출생건수 (명),사망건수 (명),출생건수 (명),사망건수 (명),출생건수 (명),사망건수 (명),출생건수 (명),사망건수 (명),출생건수 (명),사망건수 (명),출생건수 (명),사망건수 (명),출생건수 (명),사망건수 (명),출생건수 (명),사망건수 (명),출생건수 (명),사망건수 (명),출생건수 (명),사망건수 (명),출생건수 (명),사망건수 (명),출생건수 (명),사망건수 (명)
경기도,120433,41214,117812,42266,109533,42991,115111,43195,126648,43865,119397,44168,113692,45132,121753,47687,122027,48394,124746,50830,112129,50959,112169,51425,113495,53005,105643,55215,94088,56852,88175,60050,83198,60568,77737,62794,76139,67399,75323,79010,68817,74949
양주시,1731,794,1692,814,1618,875,1709,843,2053,875,1880,896,1797,894,1986,960,2086,953,2011,1042,1692,1045,1689,1038,1624,992,1525,1166,1402,1151,1304,1244,1256,1364,1243,1431,1218,1561,1203,1855,1389,1815
